StateProvince,Category,Manufacturer,Segment,SubCategory,OrderDate,OrderID,ProductName,Profit,ProfitCY,Sales,SalesCY
Texas,Office Supplies,Other,Consumer,Fasteners,3/1/2019,US-2019-131009,Plymouth Boxed Rubber Bands by Plymouth,$0.00K,,$0.0K,
Illinois,Office Supplies,Other,Home Office,Paper,3/1/2019,US-2019-113880,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",$0.01K,,$0.0K,
Texas,Office Supplies,Fellowes,Consumer,Storage,3/1/2019,US-2019-131009,Fellowes Bankers Box Recycled Super Stor/Drawer,-$0.02K,,$0.1K,
Texas,Office Supplies,Other,Consumer,Storage,3/1/2019,US-2019-168312,Recycled Steel Personal File for Hanging File Folders,$0.01K,,$0.1K,
New York,Technology,Other,Home Office,Phones,3/1/2019,US-2019-143707,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,$0.00K,,$0.0K,
New York,Office Supplies,Staple envelope,Home Office,Envelopes,3/2/2019,US-2019-107524,Staple envelope,$0.01K,,$0.0K,
Pennsylvania,Office Supplies,Xerox 1971,Corporate,Paper,3/2/2019,US-2019-111157,Xerox 1971,$0.00K,,$0.0K,
New York,Office Supplies,Array,Home Office,Paper,3/2/2019,US-2019-107524,"Array Parchment Paper, Assorted Colors",$0.02K,,$0.0K,
Pennsylvania,Technology,Other,Corporate,Accessories,3/2/2019,US-2019-111157,Hypercom P1300 Pinpad,$0.03K,,$0.2K,
Ohio,Furniture,O'Sullivan,Corporate,Bookcases,3/3/2019,US-2019-127978,O'Sullivan 4-Shelf Bookcase in Odessa Pine,-$0.20K,,$0.3K,
California,Furniture,Bevis,Consumer,Tables,3/3/2019,US-2019-105648,"Bevis Oval Conference Table, Walnut",-$0.02K,,$0.6K,
Texas,Office Supplies,Other,Consumer,Appliances,3/3/2019,US-2019-130421,3.6 Cubic Foot Counter Height Office Refrigerator,-$0.46K,,$0.2K,
North Carolina,Office Supplies,Zebra,Consumer,Art,3/3/2019,US-2019-155852,Zebra Zazzle Fluorescent Highlighters,$0.00K,,$0.0K,
New York,Office Supplies,Cardinal,Home Office,Binders,3/3/2019,US-2019-127964,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",$0.01K,,$0.0K,
New York,Office Supplies,Ibico,Home Office,Binders,3/3/2019,US-2019-127964,Ibico Laser Imprintable Binding System Covers,$0.04K,,$0.1K,
Ohio,Office Supplies,Avery,Corporate,Labels,3/3/2019,US-2019-127978,Avery 495,$0.00K,,$0.0K,
Ohio,Office Supplies,Eldon,Corporate,Storage,3/3/2019,US-2019-127978,Eldon Shelf Savers Cubes and Bins,-$0.01K,,$0.0K,
New York,Technology,Other,Home Office,Phones,3/3/2019,US-2019-127964,PowerGen Dual USB Car Charger,$0.00K,,$0.0K,
Florida,Office Supplies,BIC,Consumer,Art,3/4/2019,US-2019-117016,"BIC Brite Liner Highlighters, Chisel Tip",$0.00K,,$0.0K,
South Carolina,Office Supplies,Other,Consumer,Storage,3/4/2019,US-2019-116239,Sensible Storage WireTech Storage Systems,$0.02K,,$0.4K,
New York,Office Supplies,Newell,Consumer,Art,3/5/2019,US-2019-169061,Newell 345,$0.02K,,$0.1K,
New York,Office Supplies,GBC,Consumer,Binders,3/5/2019,US-2019-169061,GBC Wire Binding Combs,$0.02K,,$0.0K,
New York,Office Supplies,Xerox,Consumer,Paper,3/5/2019,US-2019-169061,Xerox 1891,$0.05K,,$0.1K,
New York,Office Supplies,Acme,Consumer,Supplies,3/5/2019,US-2019-169061,Acme Forged Steel Scissors with Black Enamel Handles,$0.01K,,$0.0K,
New York,Technology,Logitech,Consumer,Accessories,3/5/2019,US-2019-169061,Logitech Wireless Gaming Headset G930,$0.18K,,$0.5K,
Washington,Furniture,Office Star,Corporate,Chairs,3/7/2019,US-2019-104563,Office Star - Task Chair with Contemporary Loop Arms,$0.02K,,$0.4K,
Washington,Furniture,Global,Consumer,Chairs,3/7/2019,US-2019-156587,"Global Push Button Manager's Chair, Indigo",$0.01K,,$0.0K,
Washington,Furniture,Global,Corporate,Chairs,3/7/2019,US-2019-104563,"Global Leather and Oak Executive Chair, Black",$0.05K,,$0.5K,
Washington,Office Supplies,Newell,Corporate,Art,3/7/2019,US-2019-104563,Newell Chalk Holder,$0.01K,,$0.0K,
Washington,Office Supplies,Newell,Consumer,Art,3/7/2019,US-2019-156587,Newell 330,$0.00K,,$0.0K,
Washington,Office Supplies,Other,Home Office,Binders,3/7/2019,US-2019-131982,Catalog Binders with Expanding Posts,$0.03K,,$0.1K,
Washington,Office Supplies,Other,Corporate,Storage,3/7/2019,US-2019-104563,"Contico 72""H Heavy-Duty Storage System",$0.00K,,$0.2K,
Washington,Office Supplies,Carina,Consumer,Storage,3/7/2019,US-2019-156587,"Carina 42""Hx23 3/4""W Media Storage Unit",$0.00K,,$0.2K,
Colorado,Office Supplies,Boston,Consumer,Art,3/10/2019,US-2019-140116,"BOSTON Ranger #55 Pencil Sharpener, Black",$0.01K,,$0.1K,
Michigan,Office Supplies,Other,Consumer,Paper,3/10/2019,US-2019-100279,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",$0.01K,,$0.0K,
Colorado,Office Supplies,Tennsco,Consumer,Storage,3/10/2019,US-2019-140116,Tennsco 6- and 18-Compartment Lockers,-$0.02K,,$0.6K,
Ohio,Furniture,Eldon,Consumer,Furnishings,3/11/2019,US-2019-166884,Eldon Wave Desk Accessories,$0.00K,,$0.0K,
Kentucky,Office Supplies,Fellowes,Corporate,Appliances,3/11/2019,US-2019-114790,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",$0.04K,,$0.1K,
California,Office Supplies,Other,Consumer,Art,3/11/2019,US-2019-103338,Economy #2 Pencils,$0.00K,,$0.0K,
Ohio,Office Supplies,Stockwell,Consumer,Fasteners,3/11/2019,US-2019-166884,Stockwell Push Pins,$0.00K,,$0.0K,
Kentucky,Office Supplies,Xerox,Corporate,Paper,3/11/2019,US-2019-114790,Xerox 198,$0.01K,,$0.0K,
New York,Office Supplies,Southworth,Consumer,Paper,3/11/2019,US-2019-158337,"Southworth 100% R¨¦sum¨¦ Paper, 24lb.",$0.05K,,$0.1K,
Kentucky,Technology,Maxell,Corporate,Accessories,3/11/2019,US-2019-114790,Maxell DVD-RAM Discs,$0.01K,,$0.0K,
Kentucky,Technology,Panasonic,Corporate,Phones,3/11/2019,US-2019-114790,Panasonic KX-TG9471B,$0.16K,,$0.6K,
Virginia,Furniture,Global,Home Office,Chairs,3/14/2019,US-2019-125521,Global Commerce Series High-Back Swivel/Tilt Chairs,$0.28K,,$1.1K,
California,Office Supplies,Avery,Corporate,Art,3/14/2019,US-2019-157623,Avery Hi-Liter Fluorescent Desk Style Markers,$0.00K,,$0.0K,
Utah,Office Supplies,GBC,Consumer,Binders,3/14/2019,US-2019-114510,GBC Wire Binding Combs,$0.01K,,$0.0K,
Utah,Office Supplies,Other,Consumer,Binders,3/14/2019,US-2019-114510,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",$0.02K,,$0.1K,
Florida,Office Supplies,Xerox,Home Office,Paper,3/14/2019,US-2019-100293,Xerox 1887,$0.03K,,$0.1K,
California,Office Supplies,Xerox,Corporate,Paper,3/14/2019,US-2019-157623,Xerox 1972,$0.00K,,$0.0K,
Illinois,Office Supplies,Xerox,Home Office,Paper,3/14/2019,US-2019-152618,Xerox 1963,$0.00K,,$0.0K,
Utah,Office Supplies,Carina,Consumer,Storage,3/14/2019,US-2019-114510,Carina Double Wide Media Storage Towers in Natural & Black,$0.00K,,$0.1K,
Utah,Office Supplies,Staple magnet,Consumer,Storage,3/14/2019,US-2019-114510,Staple magnet,$0.01K,,$0.0K,
Utah,Technology,Imation,Consumer,Accessories,3/14/2019,US-2019-114510,Imation_30456 USB_Flash Drive_8GB,$0.01K,,$0.1K,
Illinois,Technology,Hewlett-Packard,Home Office,Machines,3/14/2019,US-2019-152618,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,$0.16K,,$0.6K,
